StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,ResponseId,UserLanguage,RecordedDate,curso,escolaridade,área_estudo,renda,verif_contrato_2,idade,renda_e_pessoas,contrato_AB,contrato_CD,contrato_EF,poltrona_venda_reais,poltrona_compra_reai,poltrona_venda_porce,Q30,verif_poltrona,verif_casa
Data de início,Data final,Tipo de resposta,Progresso,Duração (em segundos),Concluído,ID de resposta,Idioma do usuário,Data registrada,Qual curso?,Qual o seu nível de escolaridade?,"Se estiver cursando/cursou universidade, qual a área?",Qual a sua renda média mensal familiar?,"Em relação aos aumentos da inflação em Manaus, qual das opções apresenta maior probabilidade d","Parte A - Pesquisa Sociodemográfica

 

 
Qual a sua idade?",Quantas pessoas vivem dessa renda familiar,"O Contrato

 

Imagine que estamos em 2011 e que você dirige uma firma na Zona Franca de Manaus, que produz computadores. Você está prestes a assinar um contrato com uma empresa local para a venda de novos computadores que serão entregues em Janeiro de 2013. 

 

Esses computadores possuem, em 2011, o valor de R$1.000 cada, mas devido à inflação, os preços tendem a crescer nos próximos anos, incluindo custos de produção e os preços dos computadores. A melhor estimativa, segundo especialistas, é de que os preços em Manaus estejam 20% mais altos em dois anos, com uma mesma probabilidade de que este aumento seja maior ou menor que 20%. Os especialistas concordam que um aumento de 10% nos preços é tão provável quanto um aumento de 30%. 

 

Você deve assinar o contrato agora (em 2011). O pagamento integral só será feito a partir da entrega em Janeiro de 2013. 

 

Dois contratos estão disponíveis para você. Indique sua preferência dentre os contratos abaixo, avaliando qual deles é mais adequado.","O Contrato

 

Imagine que estamos em 2011 e que você é o diretor de uma divisão corporativa na Zona Franca de Manaus, que produz computadores. Você está prestes a assinar um contrato com uma empresa local para a venda de novos computadores que serão entregues em Janeiro de 2013. 

 

Esses computadores possuem, atualmente, o valor de R$1.000 a peça, mas devido à inflação, os preços, incluindo custos de produção e preços de computadores, tendem a crescer nos próximos anos. A melhor estimativa, segundo especialistas, é de que os preços em Manaus estejam 20% mais altos em dois anos, com uma mesma probabilidade que este aumento seja maior ou menor que 20%. Os especialistas concordam que um aumento de 10% nos preços é tão provável quanto um aumento de 30%. 

 

Você deve assinar o contrato agora. O pagamento integral só será feito a partir da entrega em Janeiro de 2013. 

 

Dois contratos estão disponíveis para você. Indique sua preferência dentre os contratos abaixo, avaliando qual deles é mais adequado.","O Contrato

 

Imagine que estamos em 2011 e que você é o diretor de uma divisão corporativa na Zona Franca de Manaus, que produz computadores. Você está prestes a assinar um contrato com uma empresa local para a venda de novos computadores que serão entregues em Janeiro de 2013. 

 

Esses computadores possuem, atualmente, o valor de R$1.000 a peça, mas devido à inflação, os preços, incluindo custos de produção e preços de computadores, tendem a crescer nos próximos anos. A melhor estimativa, segundo especialistas, é de que os preços em Manaus estejam 20% mais altos em dois anos, com uma mesma probabilidade que este aumento seja maior ou menor que 20%. Os especialistas concordam que um aumento de 10% nos preços é tão provável quanto um aumento de 30%. 

 

Você deve assinar o contrato agora. O pagamento integral só será feito a partir da entrega em Janeiro de 2013. 

 

Dois contratos estão disponíveis para você. Indique sua preferência dentre os contratos abaixo, avaliando qual deles é mais adequado.","(Nota: leia com cuidado)

 

A poltrona de couro (venda)
 

Mudanças na economia frequentemente afetam as decisões financeiras das pessoas. Imagine que o Brasil experienciou uma alta anormal na inflação que afetou todos os setores da economia. Imagine que dentro de um período de 6 meses, todos os benefícios e salários, assim como os preços de todos os bens e serviços, aumentaram em 25%. Agora, você ganha e gasta 25% mais do que antes.

 

6 meses atrás, você estava planejando vender uma poltrona de couro que, durante esse período de 6 meses, aumentou o preço de R$400 para R$500. 

 

Você estaria mais ou menos suscetível a vender essa poltrona agora?","(Nota: leia com cuidado)

 

A poltrona de couro (compra)

 

Mudanças na economia frequentemente afetam as decisões financeiras das pessoas. Imagine que o Brasil experienciou uma alta anormal na inflação que afetou todos os setores da economia. Imagine que dentro de um período de 6 meses, todos os benefícios e salários, assim como os preços de todos os bens e serviços, aumentaram em 25%. Agora, você ganha e gasta 25% mais do que antes.

 

6 meses atrás, você estava planejando comprar uma poltrona de couro que, durante esse período de 6 meses, aumentou o preço de R$400 para R$500.

 

Você estaria mais ou menos suscetível a comprar essa poltrona agora?","(Nota: leia com cuidado) 

 

A poltrona de couro (venda)

 
Mudanças na economia frequentemente afetam as decisões financeiras das pessoas. Imagine que o Brasil experienciou uma alta anormal na inflação que afetou todos os setores da economia. Imagine que dentro de um período de 6 meses, todos os benefícios e salários, assim como os preços de todos os bens e serviços, aumentaram em 25%. Agora, você ganha e gasta 25% mais do que antes.


 


6 meses atrás, você estava planejando vender uma poltrona de couro que, durante esse período de 6 meses, aumentou o preço em 25%. 

 

Você estaria mais ou menos suscetível a vender essa poltrona agora?","(Nota:  leia com cuidado) 

 

A poltrona de couro (compra)

 

Mudanças na economia frequentemente afetam as decisões financeiras das pessoas. Imagine que o Brasil experienciou uma alta anormal na inflação que afetou todos os setores da economia. Imagine que dentro de um período de 6 meses, todos os benefícios e salários, assim como os preços de todos os bens e serviços, aumentaram em 25%. Agora, você ganha e gasta 25% mais do que antes.

 

6 meses atrás, você estava planejando comprar uma poltrona de couro que, durante esse período de 6 meses, aumentou o preço em 25%.

 

Você estaria mais ou menos suscetível a comprar essa poltrona agora?",O que aconteceu com o preço da poltrona?,Eles venderam a casa após quanto tempo?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID32""}","{""ImportId"":""QID47""}","{""ImportId"":""QID42""}","{""ImportId"":""QID51""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID56""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID54""}","{""ImportId"":""QID52""}","{""ImportId"":""QID50""}"
2021-12-09 18:26:29,2021-12-09 18:33:50,IP Address,100,441,True,R_1lt4YFcc3ezMg84,PT-BR,2021-12-09 18:33:50,"Psicologia ",Superior (incompleto),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",30%,22,4,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,,,Mais suscetível,Igual,Aumentou,1 ano
2021-12-09 18:39:48,2021-12-09 18:49:46,IP Address,100,598,True,R_4Si6YfTBtB9xwlP,PT-BR,2021-12-09 18:49:46,"Psicologia ",Superior (incompleto),Humanas,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,21,4,,,"Contrato 1: ​
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,,Mais suscetível,Igual,Aumentou,1 ano
2021-12-09 18:32:49,2021-12-09 19:17:51,IP Address,100,2701,True,R_xlwcNwkHaVjaCFH,PT-BR,2021-12-09 19:17:52,Engenharia,Pós graduação (completa),Exatas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",30%,54,2,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",Igual,Menos suscetível,,,Aumentou,1 ano
2021-12-09 19:49:35,2021-12-09 20:18:19,IP Address,100,1724,True,R_b2wYlGx7EIsMKyZ,PT-BR,2021-12-09 20:18:20,"Psicologia ",Superior (incompleto),Saúde,"Mais de 15 salários mínimos (mais de R$ 15675,01)",20%,21,4,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Menos suscetível,Menos suscetível,Aumentou,1 ano
2021-12-09 20:46:43,2021-12-09 21:04:07,IP Address,100,1044,True,R_2EHkIIZLdtIPgL3,PT-BR,2021-12-09 21:04:08,Psicologia,Superior (incompleto),Saúde,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",30%,22,4,,"Contrato 1:
Você concorda em vender os sistemas de computador (em 2013) a R$1.200 a peça, independente do preço dos sistemas de computador na época.",,Menos suscetível,Mais suscetível,,,Aumentou,Não sei
2021-12-09 21:55:25,2021-12-09 22:03:05,IP Address,100,459,True,R_cBUBgBYxIAtSqRj,PT-BR,2021-12-09 22:03:05,Psicologia,Superior (incompleto),Saúde,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",20%,22,4,"Contrato 2:
Você concorda em vender os computadores no preço de 2013. Sendo assim, se a inflação ultrapassar 20%, você será pago mais do que R$1.200 e se a inflação for inferior a 20%, você será pago menos do que R$1.200. Como ambas despesas de produção e preços estão ligadas a taxa de inflação, seu lucro ""real"" permanecerá essencialmente o mesmo independente da taxa de inflação.",,,,,Igual,Igual,Aumentou,1 ano
2021-12-10 07:40:07,2021-12-10 07:51:01,IP Address,100,654,True,R_2sSEJ4k6Ot6s4fc,PT-BR,2021-12-10 07:51:02,Economia,Superior (completo),Humanas,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",20%,25,2,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013. Sendo assim, em vez de vender a R$1.200 com certeza, você será pago de acordo com a taxa de inflação. Se a inflação passar 20%, você ganhará mais. Se ela for inferior, você ganhará menos.",,Igual,Igual,,,Permaneceu o mesmo,1 ano
2021-12-10 07:58:44,2021-12-10 08:11:06,IP Address,100,742,True,R_1DzL3SWPVNs4NO6,PT-BR,2021-12-10 08:11:06,Psicologia,Superior (incompleto),Biológicas,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",Não sei,22,3,,,"Contrato 2:
Você concorda em vender os sistemas de computador no preço de 2013.",Igual,Mais suscetível,,,Permaneceu o mesmo,1 ano
